game,date,home_team,home_team_score,away_team,away_team_score,year,series_id,game_winner_column,game_winning_team,best_of_five_winner,best_of_seven_winner,best_of_seven_loser,series_too_long
Game 5,"Tue, April 26",Boston Celtics,83,Atlanta Hawks,110,2016,BostonCeltics_AtlantaHawks_2016,away_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Boston Celtics,True
Game 6,"Thu, April 28",Atlanta Hawks,104,Boston Celtics,92,2016,BostonCeltics_AtlantaHawks_2016,home_team,Atlanta Hawks,Atlanta Hawks,Atlanta Hawks,Boston Celtics,True
Game 1,"Sun, April 17",Detroit Pistons,101,Cleveland Cavaliers,106,2016,DetroitPistons_ClevelandCavaliers_2016,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 2,"Wed, April 20",Detroit Pistons,90,Cleveland Cavaliers,107,2016,DetroitPistons_ClevelandCavaliers_2016,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 3,"Fri, April 22",Cleveland Cavaliers,101,Detroit Pistons,91,2016,DetroitPistons_ClevelandCavaliers_2016,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 4,"Sun, April 24",Cleveland Cavaliers,100,Detroit Pistons,98,2016,DetroitPistons_ClevelandCavaliers_2016,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 1,"Sun, April 17",Charlotte Hornets,91,Miami Heat,123,2016,CharlotteHornets_MiamiHeat_2016,away_team,Miami Heat,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 2,"Wed, April 20",Charlotte Hornets,103,Miami Heat,115,2016,CharlotteHornets_MiamiHeat_2016,away_team,Miami Heat,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 3,"Sat, April 23",Miami Heat,80,Charlotte Hornets,96,2016,CharlotteHornets_MiamiHeat_2016,away_team,Charlotte Hornets,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 4,"Mon, April 25",Miami Heat,85,Charlotte Hornets,89,2016,CharlotteHornets_MiamiHeat_2016,away_team,Charlotte Hornets,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 5,"Wed, April 27",Charlotte Hornets,90,Miami Heat,88,2016,CharlotteHornets_MiamiHeat_2016,home_team,Charlotte Hornets,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 6,"Fri, April 29",Miami Heat,97,Charlotte Hornets,90,2016,CharlotteHornets_MiamiHeat_2016,home_team,Miami Heat,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 7,"Sun, May 1",Charlotte Hornets,73,Miami Heat,106,2016,CharlotteHornets_MiamiHeat_2016,away_team,Miami Heat,Charlotte Hornets,Miami Heat,Charlotte Hornets,False
Game 1,"Sat, April 16",Indiana Pacers,100,Toronto Raptors,90,2016,IndianaPacers_TorontoRaptors_2016,home_team,Indiana Pacers,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 2,"Mon, April 18",Indiana Pacers,87,Toronto Raptors,98,2016,IndianaPacers_TorontoRaptors_2016,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 3,"Thu, April 21",Toronto Raptors,101,Indiana Pacers,85,2016,IndianaPacers_TorontoRaptors_2016,home_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 4,"Sat, April 23",Toronto Raptors,83,Indiana Pacers,100,2016,IndianaPacers_TorontoRaptors_2016,away_team,Indiana Pacers,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 5,"Tue, April 26",Indiana Pacers,99,Toronto Raptors,102,2016,IndianaPacers_TorontoRaptors_2016,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 6,"Fri, April 29",Toronto Raptors,83,Indiana Pacers,101,2016,IndianaPacers_TorontoRaptors_2016,away_team,Indiana Pacers,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 7,"Sun, May 1",Indiana Pacers,84,Toronto Raptors,89,2016,IndianaPacers_TorontoRaptors_2016,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Indiana Pacers,True
Game 1,"Sat, April 16",Houston Rockets,78,Golden State Warriors,104,2016,HoustonRockets_GoldenStateWarriors_2016,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Houston Rockets,True
Game 2,"Mon, April 18",Houston Rockets,106,Golden State Warriors,115,2016,HoustonRockets_GoldenStateWarriors_2016,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Houston Rockets,True
Game 3,"Thu, April 21",Golden State Warriors,96,Houston Rockets,97,2016,HoustonRockets_GoldenStateWarriors_2016,away_team,Houston Rockets,Golden State Warriors,Golden State Warriors,Houston Rockets,True
Game 4,"Sun, April 24",Golden State Warriors,121,Houston Rockets,94,2016,HoustonRockets_GoldenStateWarriors_2016,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Houston Rockets,True
Game 5,"Wed, April 27",Houston Rockets,81,Golden State Warriors,114,2016,HoustonRockets_GoldenStateWarriors_2016,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Houston Rockets,True
Game 1,"Sat, April 16",Dallas Mavericks,70,Oklahoma City Thunder,108,2016,DallasMavericks_OklahomaCityThunder_2016,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks,True
Game 2,"Mon, April 18",Dallas Mavericks,85,Oklahoma City Thunder,84,2016,DallasMavericks_OklahomaCityThunder_2016,home_team,Dallas Mavericks,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks,True
Game 3,"Thu, April 21",Oklahoma City Thunder,131,Dallas Mavericks,102,2016,DallasMavericks_OklahomaCityThunder_2016,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks,True
Game 4,"Sat, April 23",Oklahoma City Thunder,119,Dallas Mavericks,108,2016,DallasMavericks_OklahomaCityThunder_2016,home_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks,True
Game 5,"Mon, April 25",Dallas Mavericks,104,Oklahoma City Thunder,118,2016,DallasMavericks_OklahomaCityThunder_2016,away_team,Oklahoma City Thunder,Oklahoma City Thunder,Oklahoma City Thunder,Dallas Mavericks,True
Game 1,"Sun, April 17",Portland Trail Blazers,95,Los Angeles Clippers,115,2016,PortlandTrailBlazers_LosAngelesClippers_2016,away_team,Los Angeles Clippers,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Clippers,True
Game 2,"Wed, April 20",Portland Trail Blazers,81,Los Angeles Clippers,102,2016,PortlandTrailBlazers_LosAngelesClippers_2016,away_team,Los Angeles Clippers,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Clippers,True
Game 3,"Sat, April 23",Los Angeles Clippers,88,Portland Trail Blazers,96,2016,PortlandTrailBlazers_LosAngelesClippers_2016,away_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Clippers,True
Game 4,"Mon, April 25",Los Angeles Clippers,84,Portland Trail Blazers,98,2016,PortlandTrailBlazers_LosAngelesClippers_2016,away_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Clippers,True
Game 5,"Wed, April 27",Portland Trail Blazers,108,Los Angeles Clippers,98,2016,PortlandTrailBlazers_LosAngelesClippers_2016,home_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Clippers,True
Game 6,"Fri, April 29",Los Angeles Clippers,103,Portland Trail Blazers,106,2016,PortlandTrailBlazers_LosAngelesClippers_2016,away_team,Portland Trail Blazers,Portland Trail Blazers,Portland Trail Blazers,Los Angeles Clippers,True
Game 1,"Sun, April 17",Memphis Grizzlies,74,San Antonio Spurs,106,2016,MemphisGrizzlies_SanAntonioSpurs_2016,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 2,"Tue, April 19",Memphis Grizzlies,68,San Antonio Spurs,94,2016,MemphisGrizzlies_SanAntonioSpurs_2016,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 3,"Fri, April 22",San Antonio Spurs,96,Memphis Grizzlies,87,2016,MemphisGrizzlies_SanAntonioSpurs_2016,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 4,"Sun, April 24",San Antonio Spurs,116,Memphis Grizzlies,95,2016,MemphisGrizzlies_SanAntonioSpurs_2016,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,True
Game 1,"Sun, April 16",Chicago Bulls,106,Boston Celtics,102,2017,ChicagoBulls_BostonCeltics_2017,home_team,Chicago Bulls,Boston Celtics,Boston Celtics,Chicago Bulls,True
Game 2,"Tue, April 18",Chicago Bulls,111,Boston Celtics,97,2017,ChicagoBulls_BostonCeltics_2017,home_team,Chicago Bulls,Boston Celtics,Boston Celtics,Chicago Bulls,True
Game 3,"Fri, April 21",Boston Celtics,104,Chicago Bulls,87,2017,ChicagoBulls_BostonCeltics_2017,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Chicago Bulls,True
Game 4,"Sun, April 23",Boston Celtics,104,Chicago Bulls,95,2017,ChicagoBulls_BostonCeltics_2017,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Chicago Bulls,True
Game 5,"Wed, April 26",Chicago Bulls,97,Boston Celtics,108,2017,ChicagoBulls_BostonCeltics_2017,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Chicago Bulls,True
Game 6,"Fri, April 28",Boston Celtics,105,Chicago Bulls,83,2017,ChicagoBulls_BostonCeltics_2017,home_team,Boston Celtics,Boston Celtics,Boston Celtics,Chicago Bulls,True
Game 1,"Sat, April 15",Indiana Pacers,108,Cleveland Cavaliers,109,2017,IndianaPacers_ClevelandCavaliers_2017,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 2,"Mon, April 17",Indiana Pacers,111,Cleveland Cavaliers,117,2017,IndianaPacers_ClevelandCavaliers_2017,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 3,"Thu, April 20",Cleveland Cavaliers,119,Indiana Pacers,114,2017,IndianaPacers_ClevelandCavaliers_2017,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 4,"Sun, April 23",Cleveland Cavaliers,106,Indiana Pacers,102,2017,IndianaPacers_ClevelandCavaliers_2017,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,True
Game 1,"Sat, April 15",Milwaukee Bucks,97,Toronto Raptors,83,2017,MilwaukeeBucks_TorontoRaptors_2017,home_team,Milwaukee Bucks,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,True
Game 2,"Tue, April 18",Milwaukee Bucks,100,Toronto Raptors,106,2017,MilwaukeeBucks_TorontoRaptors_2017,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,True
Game 3,"Thu, April 20",Toronto Raptors,77,Milwaukee Bucks,104,2017,MilwaukeeBucks_TorontoRaptors_2017,away_team,Milwaukee Bucks,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,True
Game 4,"Sat, April 22",Toronto Raptors,87,Milwaukee Bucks,76,2017,MilwaukeeBucks_TorontoRaptors_2017,home_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,True
Game 5,"Mon, April 24",Milwaukee Bucks,93,Toronto Raptors,118,2017,MilwaukeeBucks_TorontoRaptors_2017,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,True
Game 6,"Thu, April 27",Toronto Raptors,92,Milwaukee Bucks,89,2017,MilwaukeeBucks_TorontoRaptors_2017,home_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Milwaukee Bucks,True
Game 1,"Sun, April 16",Atlanta Hawks,107,Washington Wizards,114,2017,AtlantaHawks_WashingtonWizards_2017,away_team,Washington Wizards,Washington Wizards,Washington Wizards,Atlanta Hawks,True
Game 2,"Wed, April 19",Atlanta Hawks,101,Washington Wizards,109,2017,AtlantaHawks_WashingtonWizards_2017,away_team,Washington Wizards,Washington Wizards,Washington Wizards,Atlanta Hawks,True
Game 3,"Sat, April 22",Washington Wizards,98,Atlanta Hawks,116,2017,AtlantaHawks_WashingtonWizards_2017,away_team,Atlanta Hawks,Washington Wizards,Washington Wizards,Atlanta Hawks,True
Game 4,"Mon, April 24",Washington Wizards,101,Atlanta Hawks,111,2017,AtlantaHawks_WashingtonWizards_2017,away_team,Atlanta Hawks,Washington Wizards,Washington Wizards,Atlanta Hawks,True
Game 5,"Wed, April 26",Atlanta Hawks,99,Washington Wizards,103,2017,AtlantaHawks_WashingtonWizards_2017,away_team,Washington Wizards,Washington Wizards,Washington Wizards,Atlanta Hawks,True
Game 6,"Fri, April 28",Washington Wizards,115,Atlanta Hawks,99,2017,AtlantaHawks_WashingtonWizards_2017,home_team,Washington Wizards,Washington Wizards,Washington Wizards,Atlanta Hawks,True
Game 1,"Sun, April 16",Portland Trail Blazers,109,Golden State Warriors,121,2017,PortlandTrailBlazers_GoldenStateWarriors_2017,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 2,"Wed, April 19",Portland Trail Blazers,81,Golden State Warriors,110,2017,PortlandTrailBlazers_GoldenStateWarriors_2017,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 3,"Sat, April 22",Golden State Warriors,119,Portland Trail Blazers,113,2017,PortlandTrailBlazers_GoldenStateWarriors_2017,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 4,"Mon, April 24",Golden State Warriors,128,Portland Trail Blazers,103,2017,PortlandTrailBlazers_GoldenStateWarriors_2017,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,Golden State Warriors,True
Game 1,"Sun, April 16",Oklahoma City Thunder,87,Houston Rockets,118,2017,OklahomaCityThunder_HoustonRockets_2017,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Oklahoma City Thunder,True
Game 2,"Wed, April 19",Oklahoma City Thunder,111,Houston Rockets,115,2017,OklahomaCityThunder_HoustonRockets_2017,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Oklahoma City Thunder,True
Game 3,"Fri, April 21",Houston Rockets,113,Oklahoma City Thunder,115,2017,OklahomaCityThunder_HoustonRockets_2017,away_team,Oklahoma City Thunder,Houston Rockets,Houston Rockets,Oklahoma City Thunder,True
Game 4,"Sun, April 23",Houston Rockets,113,Oklahoma City Thunder,109,2017,OklahomaCityThunder_HoustonRockets_2017,home_team,Houston Rockets,Houston Rockets,Houston Rockets,Oklahoma City Thunder,True
Game 5,"Tue, April 25",Oklahoma City Thunder,99,Houston Rockets,105,2017,OklahomaCityThunder_HoustonRockets_2017,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Oklahoma City Thunder,True
Game 1,"Sat, April 15",Memphis Grizzlies,82,San Antonio Spurs,111,2017,MemphisGrizzlies_SanAntonioSpurs_2017,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,True
Game 2,"Mon, April 17",Memphis Grizzlies,82,San Antonio Spurs,96,2017,MemphisGrizzlies_SanAntonioSpurs_2017,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,True
Game 3,"Thu, April 20",San Antonio Spurs,94,Memphis Grizzlies,105,2017,MemphisGrizzlies_SanAntonioSpurs_2017,away_team,Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,True
Game 4,"Sat, April 22",San Antonio Spurs,108,Memphis Grizzlies,110,2017,MemphisGrizzlies_SanAntonioSpurs_2017,away_team,Memphis Grizzlies,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,True
Game 5,"Tue, April 25",Memphis Grizzlies,103,San Antonio Spurs,116,2017,MemphisGrizzlies_SanAntonioSpurs_2017,away_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,True
Game 6,"Thu, April 27",San Antonio Spurs,103,Memphis Grizzlies,96,2017,MemphisGrizzlies_SanAntonioSpurs_2017,home_team,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,Memphis Grizzlies,True
Game 1,"Sat, April 15",Utah Jazz,97,Los Angeles Clippers,95,2017,UtahJazz_LosAngelesClippers_2017,home_team,Utah Jazz,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 2,"Tue, April 18",Utah Jazz,91,Los Angeles Clippers,99,2017,UtahJazz_LosAngelesClippers_2017,away_team,Los Angeles Clippers,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 3,"Fri, April 21",Los Angeles Clippers,111,Utah Jazz,106,2017,UtahJazz_LosAngelesClippers_2017,home_team,Los Angeles Clippers,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 4,"Sun, April 23",Los Angeles Clippers,98,Utah Jazz,105,2017,UtahJazz_LosAngelesClippers_2017,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 5,"Tue, April 25",Utah Jazz,96,Los Angeles Clippers,92,2017,UtahJazz_LosAngelesClippers_2017,home_team,Utah Jazz,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 6,"Fri, April 28",Los Angeles Clippers,98,Utah Jazz,93,2017,UtahJazz_LosAngelesClippers_2017,home_team,Los Angeles Clippers,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 7,"Sun, April 30",Utah Jazz,104,Los Angeles Clippers,91,2017,UtahJazz_LosAngelesClippers_2017,home_team,Utah Jazz,Utah Jazz,Utah Jazz,Los Angeles Clippers,True
Game 1,"Sun, April 15",Milwaukee Bucks,107,Boston Celtics,113,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 2,"Tue, April 17",Milwaukee Bucks,106,Boston Celtics,120,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 3,"Fri, April 20",Boston Celtics,92,Milwaukee Bucks,116,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Milwaukee Bucks,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 4,"Sun, April 22",Boston Celtics,102,Milwaukee Bucks,104,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Milwaukee Bucks,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 5,"Tue, April 24",Milwaukee Bucks,87,Boston Celtics,92,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 6,"Thu, April 26",Boston Celtics,86,Milwaukee Bucks,97,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Milwaukee Bucks,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 7,"Sat, April 28",Milwaukee Bucks,96,Boston Celtics,112,2018,MilwaukeeBucks_BostonCeltics_2018,away_team,Boston Celtics,Boston Celtics,Boston Celtics,Milwaukee Bucks,True
Game 1,"Sun, April 15",Indiana Pacers,98,Cleveland Cavaliers,80,2018,IndianaPacers_ClevelandCavaliers_2018,home_team,Indiana Pacers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 2,"Wed, April 18",Indiana Pacers,97,Cleveland Cavaliers,100,2018,IndianaPacers_ClevelandCavaliers_2018,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 3,"Fri, April 20",Cleveland Cavaliers,90,Indiana Pacers,92,2018,IndianaPacers_ClevelandCavaliers_2018,away_team,Indiana Pacers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 4,"Sun, April 22",Cleveland Cavaliers,104,Indiana Pacers,100,2018,IndianaPacers_ClevelandCavaliers_2018,home_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 5,"Wed, April 25",Indiana Pacers,95,Cleveland Cavaliers,98,2018,IndianaPacers_ClevelandCavaliers_2018,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 6,"Fri, April 27",Cleveland Cavaliers,87,Indiana Pacers,121,2018,IndianaPacers_ClevelandCavaliers_2018,away_team,Indiana Pacers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 7,"Sun, April 29",Indiana Pacers,101,Cleveland Cavaliers,105,2018,IndianaPacers_ClevelandCavaliers_2018,away_team,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Indiana Pacers,True
Game 1,"Sat, April 14",Miami Heat,103,Philadelphia 76ers,130,2018,MiamiHeat_Philadelphia76ers_2018,away_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Miami Heat,True
Game 2,"Mon, April 16",Miami Heat,113,Philadelphia 76ers,103,2018,MiamiHeat_Philadelphia76ers_2018,home_team,Miami Heat,Philadelphia 76ers,Philadelphia 76ers,Miami Heat,True
Game 3,"Thu, April 19",Philadelphia 76ers,128,Miami Heat,108,2018,MiamiHeat_Philadelphia76ers_2018,home_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Miami Heat,True
Game 4,"Sat, April 21",Philadelphia 76ers,106,Miami Heat,102,2018,MiamiHeat_Philadelphia76ers_2018,home_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Miami Heat,True
Game 5,"Tue, April 24",Miami Heat,91,Philadelphia 76ers,104,2018,MiamiHeat_Philadelphia76ers_2018,away_team,Philadelphia 76ers,Philadelphia 76ers,Philadelphia 76ers,Miami Heat,True
Game 1,"Sat, April 14",Washington Wizards,106,Toronto Raptors,114,2018,WashingtonWizards_TorontoRaptors_2018,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Washington Wizards,True
Game 2,"Tue, April 17",Washington Wizards,119,Toronto Raptors,130,2018,WashingtonWizards_TorontoRaptors_2018,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Washington Wizards,True
Game 3,"Fri, April 20",Toronto Raptors,103,Washington Wizards,122,2018,WashingtonWizards_TorontoRaptors_2018,away_team,Washington Wizards,Toronto Raptors,Toronto Raptors,Washington Wizards,True
Game 4,"Sun, April 22",Toronto Raptors,98,Washington Wizards,106,2018,WashingtonWizards_TorontoRaptors_2018,away_team,Washington Wizards,Toronto Raptors,Toronto Raptors,Washington Wizards,True
Game 5,"Wed, April 25",Washington Wizards,98,Toronto Raptors,108,2018,WashingtonWizards_TorontoRaptors_2018,away_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Washington Wizards,True
Game 6,"Fri, April 27",Toronto Raptors,102,Washington Wizards,92,2018,WashingtonWizards_TorontoRaptors_2018,home_team,Toronto Raptors,Toronto Raptors,Toronto Raptors,Washington Wizards,True
Game 1,"Sat, April 14",San Antonio Spurs,92,Golden State Warriors,113,2018,SanAntonioSpurs_GoldenStateWarriors_2018,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,San Antonio Spurs,True
Game 2,"Mon, April 16",San Antonio Spurs,101,Golden State Warriors,116,2018,SanAntonioSpurs_GoldenStateWarriors_2018,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,San Antonio Spurs,True
Game 3,"Thu, April 19",Golden State Warriors,110,San Antonio Spurs,97,2018,SanAntonioSpurs_GoldenStateWarriors_2018,home_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,San Antonio Spurs,True
Game 4,"Sun, April 22",Golden State Warriors,90,San Antonio Spurs,103,2018,SanAntonioSpurs_GoldenStateWarriors_2018,away_team,San Antonio Spurs,Golden State Warriors,Golden State Warriors,San Antonio Spurs,True
Game 5,"Tue, April 24",San Antonio Spurs,91,Golden State Warriors,99,2018,SanAntonioSpurs_GoldenStateWarriors_2018,away_team,Golden State Warriors,Golden State Warriors,Golden State Warriors,San Antonio Spurs,True
Game 1,"Sun, April 15",Minnesota Timberwolves,101,Houston Rockets,104,2018,MinnesotaTimberwolves_HoustonRockets_2018,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Minnesota Timberwolves,True
Game 2,"Wed, April 18",Minnesota Timberwolves,82,Houston Rockets,102,2018,MinnesotaTimberwolves_HoustonRockets_2018,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Minnesota Timberwolves,True
Game 3,"Sat, April 21",Houston Rockets,105,Minnesota Timberwolves,121,2018,MinnesotaTimberwolves_HoustonRockets_2018,away_team,Minnesota Timberwolves,Houston Rockets,Houston Rockets,Minnesota Timberwolves,True
Game 4,"Mon, April 23",Houston Rockets,119,Minnesota Timberwolves,100,2018,MinnesotaTimberwolves_HoustonRockets_2018,home_team,Houston Rockets,Houston Rockets,Houston Rockets,Minnesota Timberwolves,True
Game 5,"Wed, April 25",Minnesota Timberwolves,104,Houston Rockets,122,2018,MinnesotaTimberwolves_HoustonRockets_2018,away_team,Houston Rockets,Houston Rockets,Houston Rockets,Minnesota Timberwolves,True
Game 1,"Sat, April 14",New Orleans Pelicans,97,Portland Trail Blazers,95,2018,NewOrleansPelicans_PortlandTrailBlazers_2018,home_team,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,True
Game 2,"Tue, April 17",New Orleans Pelicans,111,Portland Trail Blazers,102,2018,NewOrleansPelicans_PortlandTrailBlazers_2018,home_team,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,True
Game 3,"Thu, April 19",Portland Trail Blazers,102,New Orleans Pelicans,119,2018,NewOrleansPelicans_PortlandTrailBlazers_2018,away_team,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,True
Game 4,"Sat, April 21",Portland Trail Blazers,123,New Orleans Pelicans,131,2018,NewOrleansPelicans_PortlandTrailBlazers_2018,away_team,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,New Orleans Pelicans,True
Game 1,"Sun, April 15",Utah Jazz,108,Oklahoma City Thunder,116,2018,UtahJazz_OklahomaCityThunder_2018,away_team,Oklahoma City Thunder,Utah Jazz,Utah Jazz,Oklahoma City Thunder,True
Game 2,"Wed, April 18",Utah Jazz,102,Oklahoma City Thunder,95,2018,UtahJazz_OklahomaCityThunder_2018,home_team,Utah Jazz,Utah Jazz,Utah Jazz,Oklahoma City Thunder,True
Game 3,"Sat, April 21",Oklahoma City Thunder,102,Utah Jazz,115,2018,UtahJazz_OklahomaCityThunder_2018,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Oklahoma City Thunder,True
Game 4,"Mon, April 23",Oklahoma City Thunder,96,Utah Jazz,113,2018,UtahJazz_OklahomaCityThunder_2018,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Oklahoma City Thunder,True
Game 5,"Wed, April 25",Utah Jazz,99,Oklahoma City Thunder,107,2018,UtahJazz_OklahomaCityThunder_2018,away_team,Oklahoma City Thunder,Utah Jazz,Utah Jazz,Oklahoma City Thunder,True
Game 6,"Fri, April 27",Oklahoma City Thunder,91,Utah Jazz,96,2018,UtahJazz_OklahomaCityThunder_2018,away_team,Utah Jazz,Utah Jazz,Utah Jazz,Oklahoma City Thunder,True
